content,score,Label
the game is quite good,5,Positive
kenapa saya selalu stuck di loading screen padahal hp mendukung jaringan juga bagus,1,Negative
"baik huohuo dan samponya udah pulang nih papi, sekarang tolong kasih keberkahan e6nya om Gallagher pls pls pls butuh banget buat tugas sekolahhh😭😭🙏",5,Positive
MIHOYOOOOOOO ANJINGGGGGGGG BANGSATTTTTT TAIIIIIIIK CAONIMAAAAAAAA,1,Negative
Gcha selalu jelek setiap udah 3 banner gak dapet padahal dah nabung banyak buat spin,1,Negative
"Bagus bgtt,tapi tolong kecilin size nya dong,sama buat fitur hapus quest yg lama,tapi overall baguss bgttt top markotop dahh",5,Positive
GG Game hebat,5,Positive
Bansos game terbaik nuhun untuk Acheron,5,Positive
Good,5,Positive
Mantap,5,Positive
Saat download gagal mulu sinyal bagus Kadang white screen tiba²,1,Negative
Bagus,5,Positive
Maju terus game baik,5,Positive
Skip story.. verry borring,1,Negative
Kokotayp,5,Positive
"Penyimpanan 64 gb menangis, bye2",2,Negative
Give me luck,5,Positive
Yang penting dapet lah,1,Negative
"Bansos nya banyak🤩, sehat sehat game baik",5,Positive
"Setelah di update, saat saya login kedalam gamenya saya harus menunggu sekitar 1-2menit dikarenakan Freeze/Lag. Tolong Dev segera diperbaiki. Soalnya di versi sebelum2 nya tidak terjadi kendala.",1,Negative
tolong dong turun nin lagi biar gua bisa main mihoyo,5,Positive
"Maen hi3 udh 1000 day+ login, hsr maen dari awal rilis tetep aja gk pernah hoki",1,Negative
"Login error pls fix it I will give 5 star , if my account can access",3,Negative
aku kasih bintang 1 dulu kalo firefly diidupin lagi nanti kasih 5 Edit: makasih ya hoyo udah hidupin waifu aku ternyata bisa henshin,5,Positive
Gamenya bagus dan game ini berbeda dari game-game honkai yang lain. Masalahnya game ini ada turn base dan tidak bisa lompat lalu terkedang memainkan game ini bisa membikin player bosan dan saya memainkan game ini kalau ada karakter yang ingin di gacha atau build karakter,4,Positive
"Apalah , udah nabung 1 bulan penuh , demi ngincer acheron , malah dapet yanqing ( tapi gpp sih , tapi ngeselin ), mana hoyovers suka ngasih aku hard pity , di genshin aja nahida aku di pity 70 apa apaan , udah mah stellar jade aku habis , terus tiket udah gak bisa ada yng di tuker lagi , yanqing dapet ke 60 di banner acheron , terus di banner acheron ku gacha lagi 40 malah pela aku yang E4 , nasib , tpi aku msih bisa 30 kali lagi, ya semoga aja dapet , orng baik banyak rezeki , jdi mknya baik",1,Negative
Game bagus cuma sayang rate off terlalu suram spin 100 kali dapet 5 starnya di spin ke 90 udh gitu bukan karakter yang di rate off lagi hadeh kapitalis amat jadi game udh nabung lama buat all in dapetnya ga sesuai tolonglah tingkatkan kualitas rate off bila perlu beri guarantee di spin ke 80 udh fiks dapet gitu jangan kayak begini terlalu berat pity nya,2,Negative
Ayo kalo says menang rate off archeron saya bakal perpanjangan express suplai pass saya,5,Positive
"Gamenya bagus, dari segi grafis, cerita, gameplay semuanya sangat memuaskan. Namun jika boleh bertanya kepada kami dari para pemain Indonesia, kami berharap ada suara-suara bahasa Indonesia sehingga kami para pemain Indonesia tidak perlu repot-repot membaca terjemahan di setiap cerita. semoga bisa ditanggapi",5,Positive
Woy hoyoverse bagi gw 100.000 stellar jade,5,Positive
Mantap gw suka,5,Positive
すごい,5,Positive
Pabrik istri njir,5,Positive
"Gamenya sudah baik, story menarik, mekanisme yg seru bagi pecinta game turn base seperti saya. Tapi ada beberapa masalah yaitu tidak bisa terus reroll dan bug teksture yg tidak jelas meskipun handphone sudah termasuk high end dan saya harap hoyoverse memperbolehkan sistem reroll tanpa henti untuk kenyamanan bermain",3,Negative
Terimakasih game baik,5,Positive
unduh datanya gajelas masa awalnya download 200 MB abis ada notif gagal jadi 9 GB kocak korup mulu datanya,2,Negative
Belom down tapi gatau,5,Positive
Plot cerita bagus Grafis untuk game anime sangat bagus,5,Positive
SPARKLE FIREFLY 🥰,5,Positive
"berak bau bgt, perasaan di gensin wangy bet dah",1,Negative
GAMEYA BAGUS BAGET GERAFIK YA BAGUS BIKIN KETAGIHAN,5,Positive
Please ....tambahin fitur skip dialog (BACOT) !!!!,1,Negative
Hayoo jgn gitu puasa dzolimin orang😮‍💨,1,Negative
BAGUS,5,Positive
"Bolehlah, abis dpt sparkle 2x, skrng gacha multo 1x dpt acheron menang 50/50. Nice aniversary",5,Positive
PRA-UNDUH SCAAAMMMMM,1,Negative
Game ya bagus dan ringan,5,Positive
Game baik,5,Positive
kala rate off mulu bgst,1,Negative
Seru bener,5,Positive
Sangat bikin engas,5,Positive
Game ampas mendingan genshin impact masak gua hapus 2 Minggu akun ke reset dasar ampas,1,Negative
game baik dan tidak kikir,5,Positive
Gak kyk kikir impek,5,Positive
🗿👍,1,Negative
Great 👍,5,Positive
Kece,5,Positive
Selamat pagi game baik,5,Positive
best game 👍,5,Positive
aku sangat suka game baik,5,Positive
Seru,5,Positive
GAME BANYAK BANSOS LET'S GOOOI,5,Positive
Keren abiss,5,Positive
Keren,5,Positive
Siapa yang bilang gak dicicil,1,Negative
"Gem kntl rate off yanqing mulu,yanqing berasa 80% dapatnya",1,Negative
Game Baik,5,Positive
Bagus,5,Positive
Terimakasih Game Baik😅😁,5,Positive
"Akun ku hoki bgt disini, semua chara nya desainnya bagus bgt, ceritanya makin bagus, banyak konten endgame, wareg bansos",5,Positive
Acheron ku mana babik 😁,1,Negative
MAKASIH GAME BAIK,5,Positive
Game gak jls,1,Negative
Gim guoblog najis,3,Negative
"Game buatan mihoyo memang tidak pernah mengecewakan, menurut gw story nya luar biasa bagus apalagi pas di kota penocony, kita akan dibikin nangis oleh ceritanya, intinya baguslah work it untuk di download",5,Positive
GREAT GAME!! ILISM HOPE TO SEE MORE GREAT CONTENT FROM HSR!,5,Positive
"Game yang sangat kikir sekali, sangat tidak dermawan",1,Negative
Wah,5,Positive
"Untuk kedepannya saya harap bakal ada perbaikan untuk ukuran update patchnya yg sepertinya tidak menentu, karena patch kali ini saya harus menghabiskan 9GB untuk update ke patch 2.1 sedangkan Player lain cuman 2GB, saya mohon untuk segera di perbaiki karena rasanya sangat tidak adil.",2,Negative
"Game ini sangat baik dan tidak kikir, saya sangat suka dengan hal itu:)",5,Positive
Story nya mantep,5,Positive
Bai genshin :D,5,Positive
Tolong honkai ku gak bisa di buka mohon bantuannya,1,Negative
Game baik,5,Positive
"Dari segi gameplay dan design character keren banget, gk ngebosenin juga gameplaynya, keren banget pokonyaa the besttt",5,Positive
Makasih Game Baik,5,Positive
suka aja sama game nya...bansos banyak + karakter nya jg ga kalah menarik sama game game lain (cuman 1 permintaan sya sih wkwk kurang kan size nyaa huhuhu) =w=,5,Positive
Screwllum pls 😭😭😭😭😭😭😭😭😭😭🙏🙏🙏🙏🙏,5,Positive
Aku ksih bintang dikit karena belum nyobain 😂 😅 😂,1,Negative
Keren banget game nya!!!,5,Positive
nice,5,Positive
Makasih game baik,5,Positive
Story dan gameplay nya bagus banget,5,Positive
no comment,4,Positive
"Butuh figture, skip story la kasian yg kerja pen cepat tpi banyak ngomong nya☺",3,Negative
sehat sehat game baik,5,Positive
"Game Ajg ini ga pernah dikasihnya pity kecil, selalu rate off ajg memang 💩💩💩",1,Negative
"Mantap, Sehat sehat game baik",5,Positive
Mungkin ini ngak kayak genshin yang lebih bebas tetapi saya menyukainya dikarenakan gameplay yang simpel tapi kalo bisa saya punya satu permintaan yaitu gimana cara kompres nih data gede banget woy,4,Positive
PANJANG UMUR GAME BAIK,5,Positive
Game baik,5,Positive
Rate gachanya naikin dong,5,Positive
ya ya saya setuju,5,Positive
Sehat sehat game baik🥰🥰,5,Positive
Terimakasih hoyoverse udh kasih aku menang 50:50 semoga lancar terus game baik,5,Positive
Masih sering ngefrez malah gak dibenerin,1,Negative
Mihoyo Asyuuu Kuntol😊,5,Positive
Gaaasssss acheron pulangg,5,Positive
Bagus,5,Positive
Anj,1,Negative
Hahaha suka,5,Positive
Game baik,5,Positive
foto saya bersama firefly menghilang akibat hsr saya refresh saat close open sebentar. Tolong kembalikan foto saya bersama mayat tersebut 🙏🏻,5,Positive
selamat ulang tahun game baik,5,Positive
Game santai,5,Positive
Sehat sehat game baik,5,Positive
Nice,5,Positive
"Sesuai yang di harap kan, gamenya sangat bagus tetapi terkadang pas lagi bertarung kadang kadang agak lag, padahal lancar jaringan saya, jadi saya kasih bintang 5",5,Positive
wah gila ini game sangat bagus itu doang yang gua mau sampaikan,5,Positive
Rich story,5,Positive
Gem baik ga kayak gem sebelah 🙄,5,Positive
Terimakasih game baik,5,Positive
"Untuk story ya udah bagus, charamya juga udh keren keren, tapi kalau menurut saya eventnya kurang banyak kalau bisa ditambahkan ya agar para player dapat menahan rasa jenuh mereka dalam bermain game ini",5,Positive
game baik,5,Positive
Terimakasih atas segala bansos dari 1.0 sampai 1st anniversary,5,Positive
Banyakin lagi hadiah annivnya min wkwk,5,Positive
pengen donglod lagi tapi memori ku udah triak duluan,5,Positive
Terima kasih game baik,5,Positive
"Nice reward, keep up",5,Positive
Baik baik game baik,5,Positive
"bansosnya banyak, smg sering menang rate off",5,Positive
Bansos melimpah beda sama kakaknya 👍,5,Positive
GAMENYA BAGUS BANGET PLISS SERUU GRAFIKNYA JG MANTAPP TPI PLISSS JANGAN KESERINGAN UPDATE 😭😭 LOADINGNYA SEABAD,4,Positive
"Semangat geme baik,moga selalu baik",5,Positive
Sehat sehat game baik,5,Positive
Mantap game baik,5,Positive
👍,5,Positive
Best Game Hoyoverse in the world,5,Positive
Game baik 😭👍,5,Positive
Good,5,Positive
"Banyakin bansos biar gw bisa gacha terus hehee, KASIH KEBERUNTUNGAN YG GEDE KE AKUN GW MIHOYOO <3",5,Positive
"buat game gabut cocok,,,selagi bansos banyak",5,Positive
"Game yang sangat indah, dan aku tidak bisa berhenti bilang wow",5,Positive
semoga dapat acheron,5,Positive
Game baik,5,Positive
Tolong tambahkan fitur hapus data quest lama kaya di genshin biar lebih ramah hp penyimpanan kecil 😁aku 8/128 sisa 40gb ntah bisa bertahan atau gak 😁,5,Positive
"Dari segi story udah mantep, gameplay nya turn base gua suka, grafiknya bagus, dan bansos nya juga bejibun🔥",5,Positive
"Game baik, reward melimpah, gameplay menarik, gampang dan mudah, puzle menarik, story ok, desain karakter yg indah",5,Positive
Lagi kesal saja relic jelek amat dapat dan naikinnya,5,Positive
Best game epar.,5,Positive
Nice game,4,Positive
Because ther Have Jing Liu And Acheron,5,Positive
Kenapa ya mau masuk login ke akun game malah dibilang jaringan error' padahal sinyalnya bagus,5,Positive
Game sampah kbnykan update,1,Negative
Game ramah sambil ngasuh anak,5,Positive
Tolong perbaiki masalah cutscene patah2 dihape samsung saya menjadi tidak nyaman saat cutscene dimulai karena selalu patah2 padahal kalo di ingame lancar banget rata tengah pun masih ngangkat,3,Negative
"Story bagus, karakter bagus, animasi bagus, dan boss fight keren semua. Overall bagus 9/10",5,Positive
Terima kasih game baik,5,Positive
Sehat terus game baik 😁😁,5,Positive
"game ramah lingkungan, ga kaya abangnya",5,Positive
Terimakasih game baik,5,Positive
"Terima kasih Game baik, ini sangat seru😁👍👍",5,Positive
Terbaik,5,Positive
Good game,5,Positive
"Nitip untuk masa depan hoyooo, semoga aku ama game ini umurnya panjang bangett, aamiin😁😁",5,Positive
Game baik,5,Positive
Nice ☄️🗿☄️🗿☄️,5,Positive
Game nya terbail cuy dari segi grafik dan story nya tp sayang nya size nya terlalu besar mengakibatkan hp yang 64 GB tidak bisa menampung lagi,5,Positive
"Game nya bagus dan banyak character waifuable, story nya juga mantap dah itu aja",5,Positive
Gemnya kurang kikir,5,Positive
"Wah bagus sekali gamenya dari grafiknya,karakternya,cara bertarungnya terus alur cerita dari game ini dan selain itu game ini tidak ada iklan pokoknya bagus deh👍",5,Positive
Raja Bansos,5,Positive
Mantep ni game gak kikir Terima kasih game baik 😄👍,5,Positive
Hoyoverse please give me ruan mei,5,Positive
Waifuable,5,Positive
Terimakasih game baik,5,Positive
Game elite tapi sering banyak masalah seperti login error lah atau bug lah gak ada yang benar,4,Positive
intinya bukan game kikir😁🙏,5,Positive
"udh keren, cuman sering kena bug contoh: masuk kedalam tanah, lantai boss ilang, dll",5,Positive
Terima kasih game baik,5,Positive
AKU CINTA BLADE ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️💞💞💞,5,Positive
Terbaik,5,Positive
Masterpiece,5,Positive
"You should be proud to receive my first impression in the world of game. This is my first review of a game, I think this game is good. at least give me luck once, I've never gotten a b5 character under pity 50. 😭",5,Positive
Acheron.,5,Positive
Sehat sehat game baik Ditunggu sistem coopnya,5,Positive
"Buat yg ngasih rating ⭐1 yg ngeluh bug, fc, dll. Device klean aja yg kentank.",5,Positive
Pom pom ..kasih saya kehokian stonk di Baner aventurine low pity + LC juga 🌠,5,Positive
Game baik,5,Positive
F2P senang,5,Positive
Wleowleowleo,5,Positive
game bagus.ramah F2P kalau pinter nabung kalau semua banner di libas ya hoki hokian aja,5,Positive
"Overall semuanya bagus, dari segi grafik, story, dubbing, gameplay sama eksplor. Kendalanya sama kayak di genshin, butuh ram banyak, karena ini gede banget. Semoga aja kedepannya ada past resource buat hapus dan download kayak game satunya",4,Positive
Bagus sangat ramah f2p mwhehe,5,Positive
Gem paling baik like serius gem pembaik gk kaya anak tiri nya kikir banget,5,Positive
Sehat selalu game baik,5,Positive
"Walaupun game turn based battle, game ini map nya besar, banyak teka teki pusing sekaligus menarik, cerita utama dan sampingan sama-sama berkualitas, karakter op, dan nyari material gak susah dan pelit. PANJANG UMUR GAME BAIK",5,Positive
Terimakasih banyak atas game baik,5,Positive
ya gitulah,5,Positive
Di permudah lagi dapat hiro nya,5,Positive
"Gameplaynya seru, musiknya juga bagus, apalagi ceritanya yang segar. Biasanya saya kurang suka game turn based, tapi di honkai star rail ini beda, entah kenapa malah suka🥰",5,Positive
Bgus,5,Positive
Yo!!!,5,Positive
"Terimakasih Game Baik, Tapi percuma Bansos banyak kalo dikasih hard pity",5,Positive
Gamenya tidak kikir,5,Positive
Game yang sangat bagus dari segi grafik dan cerita. Dan pasti sangat mudah untuk mendapatkan jade crystal untuk gacha karakter,5,Positive
Banyak bansos,5,Positive
"Aneh prasaan tdi mlm praunduhnya cmak 2gb, pas update malah jadi 8Gb aneh",2,Negative
game yang keren dan asik. translate bahasa Indonesianya lucu-lucu ya. trs juga sering ngasih sumbangan sembako,5,Positive
"Pas animasi cut scene sama animasi battle nya masih frame, freeze dan patah patah sama beberapa bug kayak kolam air dan kristal di belobog jadi warna hitam tapi buat sisa nya udh paling the best lah hoyoverse semoga kekurangan di game HSR bisa segera di FIX 👍🏻✨ Soalnya di genshin udh ngga ada masalah apa apa",4,Positive
"Rednot 8(6\64) masih kuat game ginian ternyata, mantap wkwkwkwkw, btw gameplay nya memang membosankan bagi beberapa orang terutama kaum ""kurang literasi"" karena gameplay nya lumayan banyak ""text""nya, untuk story nya ok banget ini, antara voice sama gerakan bibir dari karakter sangat singkron, subtitle sudah mudah dipahami juga, goodjob hoyoverse, semoga makin bagus lagi kedepannya",5,Positive
mommy come home pls,5,Positive
Untuk size pelis terlalu besar hp ku gk kuat game baik,4,Positive
Gak keren hsr. Live 7 hari reward ilang? Gak keren.,5,Positive
"Hoyoverse buat Planet yang bertema Indonesia dong, saran namanya Neo-Santara",5,Positive
Klo menang rate off ku kasi bintang 5,1,Negative
Baik tapi jomok,5,Positive
"Actually this game is really fun and very f2p friendly, but there's one reason that makes me feel....., first this game heat my phone really fast, second this game is more laggy than genshin impact, third please optimize it for some phone that has a new processor such as snapdragon 7s gen 2. Hope you read this message from me as a hoyoverse enjoyer. Thanks....",5,Positive
seru and wareg bansos,5,Positive
"Gameplay asik, meskipun turn base.story tiap karakter yg gua suka, apa lagi tema petualang kek gini, beh mantap lah, tapi kurang nya gacha in game yg sulit",4,Positive
"Gamenya bikin lupa waktu hehe, dulunya yg ga suka main game turn based tapi nyoba ini game jadi ketagihan. Untuk karakter, light cone, relic sudah bagus. Untuk sinyal tolong ini masih perlu peningkatan, buat main Genshin dapet ping di kisaran 99-150an tapi kalo disini diatas itu padahal sama2 Asia. Overall bagus bintang 5 sih, tapi untuk sinyal itu yg perlu peningkatan bukan cuma itu kalo bisa ya semuanya ditingkatkan bug2 meresahkan juga kalo bisa basmi semuanya",5,Positive
Seru dan ada berbagai misi yang beragam,5,Positive
"Bansosnya banyak :) grafiknya juga mantep dan storynya seru, aku enjoy banget mainnya. Kalo kamu suka RPG turn base, aku saranin buat main ini ya!",5,Positive
"game nya baik, cuma kurang kurangin yurik bait nya, gua laporin ccp nangis kau dawei",5,Positive
Terimakasih game baik,5,Positive
Panjang umur game baik,5,Positive
Baru Main,5,Positive
BEST BANSOS GAME!!!,5,Positive
"Bagus , saya suka 🌟🌟🌟🌟🌟",5,Positive
game bagus terutama di waifunya,5,Positive
"Aku suka game baik ini, aku suka bansos game ini, aku suka kualitas graphic game ini, aku bersyukur mendownload game ini, terimakasih game baik, panjang-panjang umur ya, dan tolong menangkan 50/50 ku sekali saja, aku mau Acheron tanpa effort lebih.",5,Positive
game baik,5,Positive
All in Acheron,5,Positive
Best,5,Positive
aku suka reward nya dan sistem gacha nya gak kayak game sebelah,5,Positive
sehat² game baik😻,5,Positive
ini game bagus story nya juga bagus semua pokok nya gak bikin kecewa deh,5,Positive
"Setelah update terdapat bug di quest main story, sebelum update tidak seperti ini tapi setelah update terdapat bug seperti black screen tiba-tiba tetapi cerita dalam quest terus berjalan karena suara terus berlanjut, kemudian karakter yg mau menghampiri triger event dalam quest seakan berlari di tempat tetapi cerita dalam quest terus berlanjut sama seperti diatas suara terus berjalan seiring dengan cerita dalam quest itu.",4,Positive
Nice game,5,Positive
Mantap nyo,5,Positive
Terimakasih game baik 😁,5,Positive
Game baik,5,Positive
Terima kasih game baik,5,Positive
Freeze issue,3,Negative
Game baik,5,Positive
"Untuk Dari Sesgi Gamesplay nya bagus,Alur Ceeritanya juga baggus Maaupun Battlenya,Cma Maasih kek Kurang Suport Buat Hp Ram 6/128gb Dmana Sering Patah2 Saat Catsing Pdahal itu pnting Bnget Buat Nikmatin Storynya Dan Untuk Grafik Gak BisaLebih Dari Grfik Rendah Bnget Jika Maksa Pake Grafik Rendah Ada sedang Tinggi Hpnya Bakal Patah Patah Dan Cepat Panas",4,Positive
Bintang 2 dulu Habis update malah Stuck di loading ingame,5,Positive
Sehat sehat game baik,5,Positive
Kita coba dulu ya kan,5,Positive
Saya suka game ini. Game turn base yang sangat bagus mempunyai detail yang bagus dan rinci. Hoyoverse Kasi aku archeron plisss,5,Positive
Semoga dapet acheron yah game baik🥰🥰,5,Positive
Optimalkan untuk samsung a55 cuk force close mulu,1,Negative
"Gameplay seru banyak konten dengan difficulty yang menantang tentunya dengan banyak reward. Untuk rate gacha masih sama seperti genshin impact namun disini saya lebih sering MENANG rate off. Sangat disayangkan untuk update setiap patch ukuran nya meledak sangat besar, semoga akan ada fitur pengoptimalan file agar dapat bermain di device kelas rendah.. Selamat atas anniversary yang pertama semoga kedepannya lebih banyak event yang menarik dengan hadiah yang lebih waw...",5,Positive
Bagus sih tapi updatenya kegedean:),3,Negative
"Untuk grafik, story, dan animasi ulti sudah bagus semua tetapi mohon dikurangi pra unduh 2.1 di android karena itu terlalu besar hingga 11 gb mohon dikurangi dan mohon menambahkan fitur untuk menghapus quest lama",5,Positive
"Makin hari makin jomok aja, makin rusak aja ini generasi. Buat yg gk suka sama komen gw mending jual aja itu otak, bayangin anak lu suka sesama jenis nantinya, apa lu bakal berdiam diri? Atau mungkin lu dukung tindakan menyimpang dia. Makin di diamin atau makin di dukung, semakin gk beres kaum otak bengkok dan semakin rusak generasi mendatang. Tolonglah kurangi sesuatu yang menyimpang, ntah tujuannya ngebait atau apapun itu. Lebih rela liat karakter playable punya pasangan dri pada jomok gini.",1,Negative
Iya iyaaa,5,Positive
"Bahasa indonesia Bagus si tapi di aku agak ngegelict gitu bahasa inggris It's good, but there's a glitch",5,Positive
"Karakter banyak, grafik jangan ditanya sih namanya hoyoverse, musuhnya juga bagus apalagi bansos dan reward beeehhh anak emas ini. Next update tolong tambahkan fitur cancel ultimate soalnya saya sering kepencet",5,Positive
Cutscene lag and bug,3,Negative
daweii please archeron e3 for mee daweii or signature 😆,5,Positive
"Keren , seru , mantap",5,Positive
非常感谢。这个游戏陪伴着我的孤独。,5,Positive
Sensasi nonton film sambil main game,5,Positive
Good game play for 4/6 mounths and i felt really good unless you have a bad phone,5,Positive
Oke,5,Positive
Sangat menarik dan seru,5,Positive
Game baik,5,Positive
Honkai Star Rail nya seru banget,5,Positive
"GIVE ME ACHERON PLEASE!!!, PLEASE!!!, PLEASE!!!!!!",5,Positive
Bagus sekali grafik nya apa lagi alun cerita nya bagus semua cuma ketika disuruh melawan robot malas banget seandainya tidak setia pada saat ada robot tapi aku tetap suka ❤,5,Positive
Karakter laki-laki nya wangy wangy terimakasih hoyo 😍🥰😘,5,Positive
"Gamenya bagus dari segi gameplay,grafik,karakter,dan dari segi bansos warp,saya harap game ini bisa memberi banyak bansos kepada pemainnya dan tidak kikir seperti genshin",5,Positive
ACHERON GUA MANA?,5,Positive
dulu aku login bisa habis itu appnya kedelete aku download lagi malah nggak ngeload,2,Negative
"70 masi gk dapet? pelit bed, niat nya nyuruh topup kah? Karna ngeliat player berusaha dapetin karakter yg dia mau makanya gk di bagi agar player topup, gitu kan, mending uninstall",1,Negative
Game baik,5,Positive
Mantap jiwa,5,Positive
Game baik,5,Positive
Aku bingung cara masuk nya 😤😤😤😤🤬🤬🤬🤬 asu gem anime gemanime,1,Negative
Game baik,5,Positive
Bagus,5,Positive
Fix effect flattery di pure fiction plz,4,Positive
Good,5,Positive
"Update 2.0 sampai 12 GB, dan update 2.1 update pra-unduh 12 GB lagi, Gua maen beberapa game dengan genre sejenis full voice, graphic bagus dan gerakannya ga kaku tapi udpate ga Segede gitu, ini Graphic bagus2 amat kaga, gerakan di open world kaku dan ga ada variasi terbang, loncat, naik kendaraan, latar waktu ganti siang-malam kaga ada tapi updatenya gede banget.",1,Negative
"Game seru mantap tambahin lebih banyak konten, tambahin fitur cancel ulti",5,Positive
Sangat mantap,5,Positive
"Mantab, gameplay yang seru,story yang menarik saya suka game ini. Game yang sangat baik dan tidak kikir😁",5,Positive
"Saya download ini game karena tidak bisa main genshin lagi setelah 2 tahun lalu. Aku mau kafka, berikan aku stela Jade lagi. Edit: 9 Desember 2023 Terimakasih setelah beberapa bulan aku sudah mendapatkan mommy kafka, dan sekarang aku lagi menunggu dr.ratio So wish me luck softpity please . Sekarang aku butuh acheron berikan LC and char nya please",5,Positive
Ngantuk,5,Positive
"Admin, tolong tambahkan fitur untuk mengganti karakter Calius menjadi Stelle atau sebalik-nya pada saat sudah memilih, saya akan membayar dengan jade atau uang asli demi fitur tersebut",5,Positive
Gamenya Kerenn!,5,Positive
Gak bisa login?,1,Negative
"Sehat sehat gim baik!! 🍵🍵🍵, Kakak tertua bilang kalau game ini sangat lah ramah tamah 🍵🍵🍵",5,Positive
"Padahal udah pake wifi plus sinyal nya ada terus malah nonstop, tapi kenapa masih jaringan eror?",1,Negative
Gemini seru untuk dimain kan,5,Positive
bokep,1,Negative
"Parah seru abis ni game, biar pun turn base tapi emang boleh seasik itu!!! Grafiknya, storynya, karakternya jga wangy²!!! Sumpah gua seneng karena maenin Honkai Star Rail dari awal rilis banget, semua konten di gamenya juga seru² dah!!! Semoga Honkai Star Rail makin bnyak dapet penghargaan biar playernya pada dapet ngerasain imbas baiknya juga yaitu bansos! <3 Terima kasih game baik!!! Sehat² game baik!!! <3",5,Positive
"Game sampah, dikit"" update",1,Negative
Tolong tambah fitur hapus data main story yg sebelumnya sudah diselesaikan karena untuk mengurangi ukuran file game yg terlalu besar. Semua aspek bagus.. Tapi tolong untuk farming relic nya terlalu sampah ya mihoyo 😭😭,5,Positive
Good story,5,Positive
"susah login,sama susah susah login nya lama banget,padahal gw mau main anjg.",1,Negative
"Tolong adakan fitur ""hapus data quest terdahulu seperti"" yang ada di gensin",5,Positive
"every time there is a good scene, the quality is always bad and it's like playing at 10 fps",1,Negative
Jelek ngebug masa tampilan kaya tv rusak,1,Negative
game baik 😁🤗,5,Positive
Sehat-sehat game baik 😁,5,Positive
Aku suka game ini karena MC cewenya wangy,5,Positive
Game bagus event yg diberikan tdk mengecewakan pokoknya nice game dah HSR best game,5,Positive
"Dabest, Terima kasih game baik",5,Positive
Bishmillah acheron sir,5,Positive
"Overall gamenya bagus apa lagi reward gamenya juga banyak, tapi sedikit saran saja untuk ukuran download pre update untuk patch yang akan datang itu bisa di kurangi untuk device mobile ya karena terlalu berat untuk se ukuran mobile, dan adakan untuk fitur hapus data yang sudah tidak diperlukan lagi itu sangat membantu player khususnya yang minim penyimpanan.",2,Negative
udah nice sih overall nya.,5,Positive
"GAMENYA BAGUSSS, tapi aku kasih bintang 3 dulu, soalnya cs hsr nya di email ga dibales baless, padahal cuman pengen nanya kenapa saya tidak bisa login hsr dan selalu muncul ""terlalu banyak permintaan, silahkan coba kembali beberapa saat"" padahal cuman pengen ngerjain quest biar bisa nabung star jade buat gacha Archeron:((((",3,Negative
Min masuk server asia kok gak bisa jaringan error' Mulu yg eropa langsung masuk,4,Positive
Gem baik bintang 🌟🌟🌟🌟,5,Positive
Yuri eljebeteh ga suka aku kecewa main dr awal rilis 😞 Maap yeh soalnya saya perempuan jadi geleuh liat bgtuan,1,Negative
